filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
rust_custom,O1,1,33135,1552560630,16922860,1518303905,287436234,90426012419,110596618049
rust_custom,O1,2,33204,1556540581,18165399,1520409629,287161380,90425034011,110833858718
rust_custom,O1,3,33188,1551659638,16994809,1518661406,287358947,90439348844,110704514281
rust_custom,O1,4,33226,1551662563,17948779,1515894270,287490397,90427198465,110955553542
rust_custom,O1,5,33597,1545161416,18033358,1515072088,287256099,90475440124,112131703995
rust_custom,O1,6,33285,1561913567,17210146,1523020040,287414213,90453455620,111108514061
rust_custom,O1,7,33091,1561540444,17657598,1520346372,287361890,90449714509,110480332892
rust_custom,O1,8,33061,1554186590,17790336,1519383374,287137895,90426247260,110346482949
rust_custom,O1,9,33194,1553129953,17860075,1521675115,287046294,90446333324,110750999637
rust_custom,O1,10,33134,1551102705,17381582,1521461094,287296988,90438713779,110611514050
rust_custom,O0,1,306130,1153912686,573906550,1130873306,619493266,1274336844661,1010419801670
rust_custom,O0,2,306709,1143896403,598235341,1126945612,621451672,1274368331324,1012204304566
rust_custom,O0,3,304880,1157231651,630798024,1128560176,619913542,1274384638896,1006256763715
rust_custom,O0,4,307351,1145101725,579839619,1126664143,620011872,1274201143068,1014276936185
rust_custom,O0,5,306960,1149665452,581594448,1133812996,620595072,1274268985590,1012709504488
rust_custom,O0,6,307220,1160016346,3217196594,1132603217,620094227,1274403356947,1013952562048
rust_custom,O0,7,303718,1604373413,632374719,1128541914,620226871,1274339319122,1002258332434
rust_custom,O0,8,300465,1149082616,652278245,1135765298,620119305,1274480615040,990836367028
rust_custom,O0,9,306673,1144968988,2094165177,1134494875,622078333,1274348997284,1012349994349
rust_custom,O0,10,301417,1142268800,557945123,1131016620,619723041,1274467679394,994682471459
rust_custom,O3,1,31689,1594397411,16285203,1565684108,283667241,75448998638,105852213368
rust_custom,O3,2,31742,1586140603,17154767,1572875410,283903638,75420877534,105934930873
rust_custom,O3,3,31645,1578856772,16872180,1561505584,283515759,75419109119,105720542783
rust_custom,O3,4,31704,1615592494,16177463,1566244889,283780582,75439025585,105908490520
rust_custom,O3,5,31696,1583742645,16827101,1564525179,283826133,75460683942,105855597173
rust_custom,O3,6,31679,1581958084,16381590,1563828577,283487479,75456992074,105855167812
rust_custom,O3,7,31706,1582103267,16644981,1562443559,284106827,75459681918,105767429108
rust_custom,O3,8,31721,1587896020,17104051,1569386335,284766186,75441973628,105900313373
rust_custom,O3,9,31691,1579134649,16396509,1567007839,283419106,75437297799,105847478986
rust_custom,O3,10,31698,1582676793,16480166,1566322928,283831916,75418362855,105914210338
rust_vanilla,O2,1,33014,1644107591,18150700,1594910094,284145895,86226938532,110173505338
rust_vanilla,O2,2,33011,1647353264,19698449,1606545569,284355157,86220751134,110137797497
rust_vanilla,O2,3,32988,1633375550,17094817,1590794635,283551958,86177827149,110155848194
rust_vanilla,O2,4,32980,1645324460,17675456,1604385414,283673163,86196507470,110124578479
rust_vanilla,O2,5,33004,1643409783,17719362,1603146198,283880601,86239053219,110180962018
rust_vanilla,O2,6,33054,1632114725,17957123,1594460409,283869965,86182937380,110370855933
rust_vanilla,O2,7,32935,1641067567,17714411,1593572105,283953393,86199922948,109970302254
rust_vanilla,O2,8,33081,1628783372,17439149,1592993180,283771314,86215781343,110416670558
rust_vanilla,O2,9,32916,1679422139,17474242,1593363345,283879801,86228038693,109869948004
rust_vanilla,O2,10,32999,1643422899,17744362,1593837599,283773476,86184823116,110135369089
rust_vanilla,O1,1,34144,1654593461,17811332,1604463634,288077125,98775203770,113935948696
rust_vanilla,O1,2,34220,1666513836,18185206,1619995899,288056203,98779955468,114154329488
rust_vanilla,O1,3,34171,1650253318,18342281,1602495831,288194294,98764299226,114044992526
rust_vanilla,O1,4,34150,1671941962,17727899,1616801284,288698497,98789936175,113868515781
rust_vanilla,O1,5,34202,1653345222,18283629,1606929713,288091497,98787837858,114151049500
rust_vanilla,O1,6,34171,1659174490,17475078,1608696462,288687262,98825200482,113947668725
rust_vanilla,O1,7,34212,1654208680,17304163,1608820604,288087759,98770282813,114177184766
rust_vanilla,O1,8,34240,1672768839,18003477,1606231172,288138461,98766639926,114266295292
rust_vanilla,O1,9,34143,1669172836,17520301,1616746222,288153510,98823598229,113941068993
rust_vanilla,O1,10,34218,1670972763,17062663,1614972110,288012781,98780543980,114185410106
c,O1,1,N/A,1770610762,12009039,1952279675,189234279,17144369966,92420820356
c,O1,2,N/A,1767013186,12208748,1952964467,189181417,17144158731,92109694726
c,O1,3,N/A,1761819399,13015242,1962276228,189248100,17136516073,92588588690
c,O1,4,N/A,1763627961,11948296,1958504563,188993501,17139509034,92159930678
c,O1,5,N/A,1772546446,12531100,1957392326,189196656,17137986628,92606550894
