filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
rust_custom,O1,1,4857,261957946,2988169,227693918,50520591,17279360909,16293852211
rust_custom,O1,2,4857,262003453,3058976,226971180,50494418,17281539143,16297013351
rust_custom,O1,3,4908,256056538,2903970,221603056,50473575,17269073047,16469407326
rust_custom,O1,4,4902,253640778,2934905,219600504,50537935,17233148360,16447917746
rust_custom,O1,5,4861,262854382,3056968,226940363,50501444,17277448476,16313302311
rust_custom,O1,6,4858,263220528,3016190,226917132,50668390,17276538538,16287783857
rust_custom,O1,7,4859,263647685,3161637,227194538,50482483,17280790224,16306437142
rust_custom,O1,8,4855,261641153,3012378,226761456,50539141,17273017741,16289781587
rust_custom,O1,9,4860,250340679,2915091,216730120,50527888,17248993683,16310730717
rust_custom,O1,10,4855,259912201,2996175,225614059,50658072,17275215838,16275433165
rust_custom,O0,1,56212,195389051,112144276,165881038,113264134,240108348780,185619566199
rust_custom,O0,2,56675,198515267,110198563,165716150,114212643,240109618508,187058756600
rust_custom,O0,3,56480,193624077,117446501,164414713,113282889,240061690634,186427159507
rust_custom,O0,4,56730,193267679,116672933,165030324,114225522,240114392819,187250263528
rust_custom,O0,5,56214,196810940,116089049,169837885,113415422,240030463349,185517644562
rust_custom,O0,6,56537,192307863,114609555,166171238,113558508,240100757447,186643241824
rust_custom,O0,7,56265,201413229,118202102,171333245,114570124,240116141949,185512351651
rust_custom,O0,8,57060,189488145,1910774076,165836086,113667470,240093071672,188384651682
rust_custom,O0,9,56537,193296962,107623098,168413092,113920218,240113960910,186398954300
rust_custom,O0,10,55615,195588649,110552853,166786065,113365861,240116587003,183476517434
rust_custom,O3,1,4619,255716840,2709632,223091991,49728897,14410366793,15479429021
rust_custom,O3,2,4606,256673198,2858703,223781570,49686042,14394545838,15454669735
rust_custom,O3,3,4614,258750916,2826302,226222798,49762372,14394348586,15498246887
rust_custom,O3,4,4597,254259011,2762869,221139818,49824231,14435069203,15442557970
rust_custom,O3,5,4614,262367980,2811328,227893637,49789464,14412070865,15499500550
rust_custom,O3,6,4618,258606088,2885647,225297658,49743816,14399674611,15514236363
rust_custom,O3,7,4617,266682498,2874829,232474729,49643328,14425760154,15496153887
rust_custom,O3,8,4629,259038368,2871859,226652817,49799378,14403361254,15548213579
rust_custom,O3,9,4609,264669443,2920832,231270344,49823670,14398430556,15470968090
rust_custom,O3,10,4598,268234602,2905509,233761423,49929208,14452990793,15430530444
rust_vanilla,O2,1,4819,264532283,3088463,229168011,49853934,16437039304,16171306139
rust_vanilla,O2,2,4828,278218382,3118024,242189927,49762626,16390047345,16188606306
rust_vanilla,O2,3,4826,262248318,3004566,226518278,49754988,16431724106,16173639295
rust_vanilla,O2,4,4823,276464308,3035935,240601728,49756755,16455484079,16163978665
rust_vanilla,O2,5,4836,269155644,2948545,229496529,49695467,16415691560,16234730945
rust_vanilla,O2,6,4821,278353440,3100428,241829202,49710758,16424767613,16167611332
rust_vanilla,O2,7,4832,277903358,3094292,240288597,49630794,16397489083,16189384319
rust_vanilla,O2,8,4820,274304395,3141223,239217598,49771189,16435104805,16176875367
rust_vanilla,O2,9,4822,272685604,3004378,237003951,49699901,16450009185,16182169357
rust_vanilla,O2,10,4817,268960963,3033491,233603575,49673578,16445525590,16171853463
rust_vanilla,O1,1,5040,270048120,3111753,235951358,50561417,18837381586,16895178954
rust_vanilla,O1,2,5039,265200370,3051821,229577561,50571951,18846460956,16898020894
rust_vanilla,O1,3,5037,267479176,3078080,233064397,50631953,18826823573,16890829726
rust_vanilla,O1,4,5052,275696270,3139070,239882939,50517799,18837941044,16931918707
rust_vanilla,O1,5,5024,283640843,3144166,244614841,50701460,18803783207,16848913532
rust_vanilla,O1,6,5037,277223086,3284256,242222516,50570653,18803040579,16883875545
rust_vanilla,O1,7,5033,264965095,5190467,229792002,50449806,18834625811,16865486984
rust_vanilla,O1,8,5033,281357597,3114103,243827117,50527515,18790477211,16878895227
rust_vanilla,O1,9,5045,267058992,2992207,230929838,50576325,18846908303,16886651893
rust_vanilla,O1,10,5039,265380786,3186212,230611707,50563937,18836617008,16893950599
c,O1,1,4596,364673929,2220028,348500987,48940166,5008094934,15094865521
c,O1,2,4597,323361827,2242907,313235013,48863102,5003146626,15106668053
c,O1,3,4603,339778441,2270063,329492622,48909563,5008942694,15123900666
c,O1,4,4613,341091351,2151857,328404090,49048492,5004118702,15153919866
c,O1,5,4608,334237073,2239269,322108156,48889746,5009830445,15120309139
c,O1,6,4612,338883876,2330392,327535098,49143448,5006050669,15144598448
c,O1,7,4607,369725143,2370874,351375953,48831054,4999894943,15135852576
c,O1,8,4585,369621407,2297517,354189121,48955613,5005617648,15061316681
c,O1,9,4616,356495202,2263923,344249694,49013225,5002224113,15167934721
c,O1,10,4608,356345743,2326259,344082172,48918065,5002525444,15143665171
c,O0,1,5570,338265832,2654140,322121431,46713946,12011569241,18303845482
c,O0,2,5579,325018139,2488123,311447343,46606222,12013104836,18311711313
c,O0,3,5573,310631102,2529877,297648998,46800150,12009128314,18320080553
c,O0,4,5587,312226910,2549317,299030665,46604207,12000124521,18359097339
c,O0,5,5557,309592898,2435796,297057818,46700390,12001386985,18254219629
c,O0,6,5584,339605905,2625078,324327410,46797990,12007226452,18323125776
c,O0,7,5588,338541278,2691968,325104382,46621492,12005710400,18337555838
c,O0,8,5558,331936018,2568761,316389782,46612354,12007841868,18271922447
c,O0,9,5563,327366522,2655058,312196843,46604557,12008814510,18285596120
c,O0,10,5581,334732507,2625361,316676012,46677325,11997234923,18324796760
