filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
rust_custom,O1,1,4854,260132272,3192276,226255010,50642496,17279310771,16273977052
rust_custom,O1,2,4868,257964724,3553332,222837929,50501117,17234583637,16328351618
rust_custom,O1,3,4882,258817287,5441081,224608486,50708109,17272111070,16376650086
rust_custom,O1,4,4866,254726698,2918856,220281030,50450254,17235521107,16322215948
rust_custom,O1,5,4849,286654739,2992141,225893277,50408021,17274276417,16263533637
rust_custom,O1,6,4886,259880353,3061346,225343546,50669171,17296492768,16374163140
rust_custom,O1,7,4861,252214780,2993964,218469905,50479391,17270803351,16293076536
rust_custom,O1,8,4898,253730108,9257919,219161214,50961013,17273064184,16416901583
rust_custom,O1,9,4881,248925416,3000700,214707313,50466613,17286760415,16368530329
rust_custom,O1,10,4858,260368394,2968729,226105713,50523093,17279447673,16281350709
rust_custom,O0,1,56915,197671544,122456027,159085516,113664720,240037329295,187926184450
rust_custom,O0,2,57115,191494047,113622638,163878697,114015470,240096676986,188521408951
rust_custom,O0,3,55561,189864566,111803247,163069960,113312151,240076906645,183388198977
rust_custom,O0,4,55552,191191501,113407377,164828055,113397652,240105107183,183454065107
rust_custom,O0,5,56420,194120241,173920160,169654814,113708686,240098661316,186262396694
rust_custom,O0,6,55785,194470347,112159719,167762817,113294827,240105419137,184171749932
rust_custom,O0,7,55928,196520731,113680110,169692487,113924027,240071066948,184601500717
rust_custom,O0,8,56904,220250680,123126344,167917128,113372559,240098349132,187763127721
rust_custom,O0,9,55901,193300223,113843830,164701289,114327117,240094901721,184474335400
rust_custom,O0,10,56540,211077057,114376814,168576103,113581068,240078282489,186632842290
rust_custom,O3,1,4616,252904364,2633601,219451908,50052159,14403781148,15485621481
rust_custom,O3,2,4637,252676844,2991488,219875277,50010877,14404440733,15566718675
rust_custom,O3,3,4627,266188610,2970123,231817534,49704669,14413988118,15516988382
rust_custom,O3,4,4616,267875933,2770346,219013533,49603391,14429507186,15492487816
rust_custom,O3,5,4589,266738265,2886197,232134126,49952229,14396325662,15405823461
rust_custom,O3,6,4599,254008041,2808179,220506734,49755154,14454121124,15428402780
rust_custom,O3,7,4620,258809890,2750990,226352975,49641733,14407809634,15491298794
rust_custom,O3,8,4607,263367007,2940135,229464029,49817050,14392850639,15460611780
rust_custom,O3,9,4630,256807550,2806585,223527582,49734431,14388531502,15538371909
