filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
c,O1,1,40879,2460254764,14803724,2712103687,280483850,26331547080,134098541110
c,O1,2,40616,2472987868,14748457,2708204053,280222675,26328554992,133350719578
c,O1,3,40263,2438249166,14583905,2681761992,279904097,26323609468,132060556312
c,O1,4,40216,2439281786,14264599,2691252708,280148875,26335347609,131929513294
c,O1,5,40208,2440432897,14646100,2681011790,280059469,26305332664,132007523922
c,O1,6,40221,2440955973,14716636,2678258257,280204906,26323026091,131936886798
c,O1,7,39977,2435951196,13827027,2682777808,280270447,26338670570,131308104987
c,O1,8,40141,2439057224,15140107,2687266441,280822669,26344577145,131511064595
c,O1,9,39915,2439011093,15397582,2685052510,280150374,26313034690,131101108027
c,O1,10,40249,2440409355,14354231,2679009337,280074541,26324016180,132146946434
c,O0,1,47220,2192210312,16673726,2373946580,269196653,63501500068,154986525445
c,O0,2,48930,1855990602,16179001,2089911016,269298679,63503949498,160669545695
c,O0,3,47147,2188012442,16495510,2376508444,269444849,63502757307,154736450330
c,O0,4,46959,2181222069,17745894,2369168619,269680139,63510233459,154159077885
c,O0,5,48650,2066762416,16263703,2281460065,269559482,63490274424,159754239366
c,O0,6,47170,2189710348,17281763,2380880854,269444362,63512568856,154913172289
c,O0,7,47201,2196057099,17103779,2381368436,269196334,63505329540,155057111668
c,O0,8,47009,2187568406,17734688,2376483863,269125728,63505537078,154373749182
c,O0,9,49974,1742092114,14579390,1987125919,269340144,63511852782,163951782508
c,O0,10,47028,2177012016,17048192,2366555715,269427868,63494222058,154377552951
c,O3,1,39986,2447813654,14805605,2681562670,279781960,25829714560,131211991202
c,O3,2,39859,2439687304,14792568,2679358626,279785776,25815197857,130784224210
c,O3,3,40016,2438688565,14733279,2676579730,279931147,25813440919,131385123763
c,O3,4,39994,2446771171,14853958,2682867759,280027641,25812228412,131290668446
c,O3,5,40002,2440824928,14992654,2681530054,279945391,25820289148,131261009565
c,O3,6,39956,2439993165,14993242,2676575789,280276439,25824435132,131101370912
c,O3,7,39833,2439269075,15167261,2682105743,280221745,25804563217,130762305070
c,O3,8,40011,2438694764,14918715,2673697162,279991081,25811054164,131211580736
c,O3,9,39994,2458819864,14829877,2688045270,280335709,25815075449,131277100254
c,O3,10,39983,2444621479,15035747,2678095525,280068600,25821250145,131253206925
c,O2,1,39956,2429782445,14084069,2672368111,277929632,26077637834,131075099313
c,O2,2,39957,2430498590,14642554,2678385234,277948462,26086585838,131214588472
c,O2,3,40069,2446043774,15215812,2688033416,277970225,26080341080,131526587074
c,O2,4,39966,2425696195,14966175,2681136936,277928346,26070836082,131210282545
c,O2,5,39816,2439416865,15148449,2683245060,277756609,26085619035,130729712229
c,O2,6,39947,2445619103,14822844,2688597811,278018891,26065619627,131155901447
c,O2,7,39972,2437935506,15280946,2673949676,278181936,26070205687,131177563894
c,O2,8,39910,2436528343,14659867,2674921559,277991222,26079075298,131032652606
c,O2,9,40018,2447600594,14786935,2683786463,278099201,26061233767,131302750425
c,O2,10,39990,2433385412,15299774,2674883277,278156632,26077307792,131203291498
